date,wm_yr_wk,weekday,wday,month,year,d,event_name_1_col,event_type_1_col,event_name_2_col,event_type_2_col,snap_CA_col,snap_TX_col,snap_WI_col
2011-01-29,11101,Saturday,1,1,2011,d_1_col,,,,,0,0,0
2011-01-30,11101,Sunday,2,1,2011,d_2_col,,,,,0,0,0
2011-01-31,11101,Monday,3,1,2011,d_3_col,,,,,0,0,0
2011-02-01,11101,Tuesday,4,2,2011,d_4_col,,,,,1,1,0
2011-02-02,11101,Wednesday,5,2,2011,d_5_col,,,,,1,0,1
2011-02-03,11101,Thursday,6,2,2011,d_6_col,,,,,1,1,1
2011-02-04,11101,Friday,7,2,2011,d_7_col,,,,,1,0,0
2011-02-05,11102,Saturday,1,2,2011,d_8_col,,,,,1,1,1
2011-02-06,11102,Sunday,2,2,2011,d_9_col,SuperBowl,Sporting,,,1,1,1
2011-02-07,11102,Monday,3,2,2011,d_10_col,,,,,1,1,0
2011-02-08,11102,Tuesday,4,2,2011,d_11_col,,,,,1,0,1
2011-02-09,11102,Wednesday,5,2,2011,d_12_col,,,,,1,1,1
2011-02-10,11102,Thursday,6,2,2011,d_13_col,,,,,1,0,0
2011-02-11,11102,Friday,7,2,2011,d_14_col,,,,,0,1,1
2011-02-12,11103,Saturday,1,2,2011,d_15_col,,,,,0,1,1
2011-02-13,11103,Sunday,2,2,2011,d_16_col,,,,,0,1,0
2011-02-14,11103,Monday,3,2,2011,d_17_col,ValentinesDay,Cultural,,,0,0,1
2011-02-15,11103,Tuesday,4,2,2011,d_18_col,,,,,0,1,1
2011-02-16,11103,Wednesday,5,2,2011,d_19_col,,,,,0,0,0
2011-02-17,11103,Thursday,6,2,2011,d_20_col,,,,,0,0,0
2011-02-18,11103,Friday,7,2,2011,d_21_col,,,,,0,0,0
2011-02-19,11104,Saturday,1,2,2011,d_22_col,,,,,0,0,0
2011-02-20,11104,Sunday,2,2,2011,d_23_col,,,,,0,0,0
2011-02-21,11104,Monday,3,2,2011,d_24_col,PresidentsDay,National,,,0,0,0
2011-02-22,11104,Tuesday,4,2,2011,d_25_col,,,,,0,0,0
2011-02-23,11104,Wednesday,5,2,2011,d_26_col,,,,,0,0,0
2011-02-24,11104,Thursday,6,2,2011,d_27_col,,,,,0,0,0
2011-02-25,11104,Friday,7,2,2011,d_28_col,,,,,0,0,0
2011-02-26,11105,Saturday,1,2,2011,d_29_col,,,,,0,0,0
2011-02-27,11105,Sunday,2,2,2011,d_30_col,,,,,0,0,0
2011-02-28,11105,Monday,3,2,2011,d_31_col,,,,,0,0,0
2011-03-01,11105,Tuesday,4,3,2011,d_32_col,,,,,1,1,0
2011-03-02,11105,Wednesday,5,3,2011,d_33_col,,,,,1,0,1
2011-03-03,11105,Thursday,6,3,2011,d_34_col,,,,,1,1,1
2011-03-04,11105,Friday,7,3,2011,d_35_col,,,,,1,0,0
2011-03-05,11106,Saturday,1,3,2011,d_36_col,,,,,1,1,1
2011-03-06,11106,Sunday,2,3,2011,d_37_col,,,,,1,1,1
2011-03-07,11106,Monday,3,3,2011,d_38_col,,,,,1,1,0
2011-03-08,11106,Tuesday,4,3,2011,d_39_col,,,,,1,0,1
2011-03-09,11106,Wednesday,5,3,2011,d_40_col,LentStart,Religious,,,1,1,1
2011-03-10,11106,Thursday,6,3,2011,d_41_col,,,,,1,0,0
2011-03-11,11106,Friday,7,3,2011,d_42_col,,,,,0,1,1
2011-03-12,11107,Saturday,1,3,2011,d_43_col,,,,,0,1,1
2011-03-13,11107,Sunday,2,3,2011,d_44_col,,,,,0,1,0
2011-03-14,11107,Monday,3,3,2011,d_45_col,,,,,0,0,1
2011-03-15,11107,Tuesday,4,3,2011,d_46_col,,,,,0,1,1
2011-03-16,11107,Wednesday,5,3,2011,d_47_col,LentWeek2,Religious,,,0,0,0
2011-03-17,11107,Thursday,6,3,2011,d_48_col,StPatricksDay,Cultural,,,0,0,0
2011-03-18,11107,Friday,7,3,2011,d_49_col,,,,,0,0,0
2011-03-19,11108,Saturday,1,3,2011,d_50_col,,,,,0,0,0
2011-03-20,11108,Sunday,2,3,2011,d_51_col,Purim End,Religious,,,0,0,0
2011-03-21,11108,Monday,3,3,2011,d_52_col,,,,,0,0,0
2011-03-22,11108,Tuesday,4,3,2011,d_53_col,,,,,0,0,0
2011-03-23,11108,Wednesday,5,3,2011,d_54_col,,,,,0,0,0
